Freq [MHz],"dB(S(1,1)) []","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []"
888.8888889,-12.81848523,-4.48773871,-5.748331011,-5.764231481,-4.517386047,-6.333338626,-6.34405794
889.1111111,-12.79316562,-4.454244454,-5.69681912,-5.712522812,-4.49772777,-6.315237558,-6.315156234
889.3333333,-12.77292209,-4.420785297,-5.644293196,-5.659737323,-4.480649337,-6.298031454,-6.287172602
889.5555556,-12.75972274,-4.387557601,-5.591492316,-5.606847083,-4.46687546,-6.282013204,-6.260772854
889.7777778,-12.75536991,-4.354829317,-5.538996423,-5.554831577,-4.457141295,-6.267301526,-6.236445061
890,-12.76097953,-4.32295077,-5.487093395,-5.504196729,-4.452074876,-6.253716349,-6.214257396
890.2222222,-12.77650743,-4.292357954,-5.435775478,-5.454671112,-4.451979419,-6.24061866,-6.193573467
890.4444444,-12.80059278,-4.263555301,-5.384846238,-5.405430747,-4.45648529,-6.226738753,-6.172856107
890.6666667,-12.83086033,-4.2370473,-5.33405774,-5.355629832,-4.464090799,-6.210053567,-6.149752459
890.8888889,-12.86454733,-4.213162314,-5.28321273,-5.30475767,-4.471737736,-6.187816331,-6.121572089
891.1111111,-12.89913715,-4.19169621,-5.232214885,-5.252681144,-4.474756081,-6.156855911,-6.086013714
891.3333333,-12.93273978,-4.171375068,-5.181082,-5.199531305,-4.467594234,-6.114195649,-6.041766531
891.5555556,-12.96416048,-4.149438324,-5.129942869,-5.145588812,-4.445424049,-6.057870042,-5.98867638
891.7777778,-12.9927517,-4.12210801,-5.079029695,-5.091222448,-4.405952515,-5.987627734,-5.927483562
892,-13.01817702,-4.086470189,-5.02866106,-5.036877915,-4.350291446,-5.905179691,-5.859387422
892.2222222,-13.04017451,-4.04255695,-4.979176929,-4.983095364,-4.282308243,-5.813873039,-5.785694583
892.4444444,-13.05835646,-3.993380043,-4.930711346,-4.930501168,-4.207034964,-5.717990347,-5.707669018
892.6666667,-13.07205522,-3.942905861,-4.882574945,-4.879567561,-4.129198322,-5.622028544,-5.62658554
892.8888889,-13.08022583,-3.894162098,-4.832213723,-4.829468006,-4.052471542,-5.530214061,-5.543942722
893.1111111,-13.08144127,-3.848660836,-4.775297793,-4.77534653,-3.979403015,-5.446298184,-5.461776492
893.3333333,-13.07405447,-3.80668109,-4.709754558,-4.709475712,-3.911701162,-5.373515647,-5.382973022
893.5555556,-13.05662457,-3.767720041,-4.639385742,-4.634254726,-3.850597454,-5.314538313,-5.311376811
893.7777778,-13.02864472,-3.730841713,-4.569663822,-4.560596965,-3.797131097,-5.271291594,-5.251378926
894,-12.99139068,-3.694925353,-4.503084331,-4.492638716,-3.752272208,-5.244596178,-5.206755769
894.2222222,-12.94838906,-3.658868047,-4.439712507,-4.429236591,-3.716818915,-5.233735563,-5.179048058
894.4444444,-12.90492946,-3.621758277,-4.378944085,-4.368828227,-3.691027289,-5.236187228,-5.166483946
894.6666667,-12.86658291,-3.582998102,-4.320312318,-4.310538539,-3.67405217,-5.247789452,-5.164430094
894.8888889,-12.83751989,-3.542346432,-4.263656289,-4.254034983,-3.663526075,-5.263450751,-5.167192568
895.1111111,-12.81961528,-3.499880702,-4.209052325,-4.199299714,-3.655776046,-5.278198476,-5.169906947
895.3333333,-12.81263644,-3.455903931,-4.156598629,-4.146451585,-3.64686965,-5.288140301,-5.16948349
895.5555556,-12.8150643,-3.41083661,-4.106068171,-4.095553352,-3.633937288,-5.29097234,-5.164549233
895.7777778,-12.82496275,-3.365124872,-4.056661678,-4.046360835,-3.615883977,-5.285945611,-5.15489548
896,-12.84060143,-3.319179229,-4.00725768,-3.998105279,-3.593170027,-5.273457441,-5.14088434
896.2222222,-12.86079229,-3.273343491,-3.957049562,-3.949573717,-3.567075304,-5.254512355,-5.12300641
896.4444444,-12.88492041,-3.227886024,-3.905881536,-3.899635595,-3.538995231,-5.230227968,-5.101602082
896.6666667,-12.91259434,-3.183004244,-3.854050861,-3.8478343,-3.510010114,-5.201454475,-5.076696957
896.8888889,-12.94312503,-3.138835061,-3.801969732,-3.794481118,-3.480697362,-5.168504678,-5.047904121
897.1111111,-12.97544433,-3.095466458,-3.749977978,-3.740275636,-3.451074831,-5.130971961,-5.014369554
897.3333333,-13.00855624,-3.052947417,-3.698302413,-3.685903392,-3.420595411,-5.087634371,-4.974763849
897.5555556,-13.04188261,-3.011294338,-3.647077408,-3.631855359,-3.388172002,-5.036486593,-4.927347874
897.7777778,-13.07522931,-2.970491839,-3.596375247,-3.578421777,-3.352263642,-4.974984768,-4.870155991
898,-13.10860872,-2.930483482,-3.546229658,-3.525748676,-3.311084464,-4.900589891,-4.801335052
898.2222222,-13.14210859,-2.891141393,-3.49665086,-3.47389484,-3.262986034,-4.811597719,-4.719632768
898.4444444,-13.17583123,-2.852189177,-3.447634339,-3.422871779,-3.206982983,-4.708032194,-4.624939732
898.6666667,-13.20987304,-2.813047241,-3.399165663,-3.372667949,-3.143252197,-4.592174956,-4.518690143
898.8888889,-13.244321,-2.772824977,-3.351223009,-3.323262501,-3.073337205,-4.468343333,-4.40389924
899.1111111,-13.27925443,-2.732097285,-3.303778557,-3.274633117,-2.999873413,-4.341914835,-4.28473234
899.3333333,-13.31474812,-2.695471699,-3.256799643,-3.226761011,-2.92591979,-4.218058469,-4.165725565
899.5555556,-13.35087544,-2.663804356,-3.210250734,-3.179635162,-2.854222026,-4.100758977,-4.050957436
899.7777778,-13.38771134,-2.633484551,-3.16409782,-3.133257232,-2.786726472,-3.992438297,-3.943467369
900,-13.42533551,-2.603162658,-3.118318147,-3.087648452,-2.724454201,-3.89410094,-3.845051816
900.2222222,-13.46383635,-2.572873497,-3.072920523,-3.042859601,-2.667642334,-3.805743222,-3.756382049
900.4444444,-13.50331672,-2.542821051,-3.027984696,-2.998984853,-2.615992749,-3.726791847,-3.677292748
900.6666667,-13.54390342,-2.513145387,-2.983730172,-2.956178736,-2.568908795,-3.656446626,-3.60709772
900.8888889,-13.58576485,-2.483923545,-2.940614671,-2.914671461,-2.525668088,-3.593890676,-3.544844845
901.1111111,-13.62914624,-2.455192638,-2.899414095,-2.8747698,-2.485526769,-3.538366768,-3.489476096
901.3333333,-13.67444495,-2.426965783,-2.861125481,-2.836819601,-2.447770953,-3.489108635,-3.439889027
901.5555556,-13.72237489,-2.399241044,-2.826468073,-2.801102777,-2.411734581,-3.445085377,-3.394905712
901.7777778,-13.7742839,-2.372005914,-2.795096582,-2.767671035,-2.376799899,-3.404529188,-3.353157418
902,-13.83226962,-2.345238744,-2.765368237,-2.736194748,-2.34239328,-3.364436149,-3.312911351
902.2222222,-13.89565881,-2.31890718,-2.735330326,-2.705967565,-2.30798749,-3.320787841,-3.271934488
902.4444444,-13.95197284,-2.292961456,-2.704067436,-2.676131576,-2.273122042,-3.270401681,-3.227628331
902.6666667,-13.9962483,-2.267314157,-2.671882604,-2.645990479,-2.237454133,-3.213409714,-3.177756102
902.8888889,-14.04135271,-2.241770733,-2.63936654,-2.615195306,-2.200848769,-3.153275408,-3.121731864
903.1111111,-14.09190826,-2.215694453,-2.606822185,-2.58372723,-2.163498732,-3.094059775,-3.061511688
903.3333333,-14.14699628,-2.185157959,-2.574358496,-2.551766877,-2.126025467,-3.038236874,-3.000857019
903.5555556,-14.2053328,-2.184364365,-2.542049983,-2.519563947,-2.089465595,-2.986538087,-2.943344236
903.7777778,-14.26590073,-2.153010986,-2.509974907,-2.487357178,-2.055052985,-2.938710367,-2.890921837
904,-14.32774069,-2.128218057,-2.478207079,-2.455341683,-2.023824879,-2.894155759,-2.843864949
904.2222222,-14.3897576,-2.104639683,-2.44680745,-2.423664168,-1.996252657,-2.852235686,-2.801480763
904.4444444,-14.45061867,-2.081599461,-2.415822172,-2.392429841,-1.972127521,-2.812341015,-2.762767995
904.6666667,-14.50875357,-2.058878679,-2.38528414,-2.361711863,-1.950743019,-2.773821014,-2.726770362
904.8888889,-14.56248174,-2.036361156,-2.355215367,-2.331559115,-1.931210046,-2.735853011,-2.692694428
905.1111111,-14.61028376,-2.013960105,-2.32562878,-2.302000247,-1.912715756,-2.697855576,-2.659915452
905.3333333,-14.65118257,-1.99159578,-2.296528596,-2.273042189,-1.894649882,-2.661923061,-2.627956519
905.5555556,-14.68511954,-1.969187118,-2.267908182,-2.244660367,-1.876622183,-2.631261205,-2.596495018
905.7777778,-14.71315361,-1.946649328,-2.239743229,-2.216777108,-1.858425084,-2.603848923,-2.565439228
906,-14.73734882,-1.923896225,-2.211976063,-2.189228955,-1.839982565,-2.577619034,-2.535089056
906.2222222,-14.76035707,-1.900848585,-2.184485838,-2.161744792,-1.821305405,-2.552470446,-2.506269582
906.4444444,-14.78485642,-1.877450873,-2.157052854,-2.134002163,-1.802458829,-2.528834492,-2.480131682
906.6666667,-14.81305637,-1.853697953,-2.129399292,-2.105833627,-1.783542329,-2.50719373,-2.457489243
906.8888889,-14.84640677,-1.829669243,-2.101506735,-2.0774627,-1.764679732,-2.488017175,-2.438305783
907.1111111,-14.88552639,-1.805558971,-2.07402327,-2.049433445,-1.746018056,-2.471704446,-2.421970225
907.3333333,-14.93028743,-1.78168066,-2.047754916,-2.022233773,-1.727734496,-2.458423201,-2.40791842
907.5555556,-14.97997725,-1.758423044,-2.022798508,-1.996056965,-1.710050322,-2.447790268,-2.395861213
907.7777778,-15.03348294,-1.736156349,-1.99878483,-1.970860098,-1.693242478,-2.438453883,-2.38548626
908,-15.08947294,-1.715126109,-1.975393094,-1.946511024,-1.677608235,-2.427898851,-2.375787072
908.2222222,-15.14656642,-1.6953912,-1.952458991,-1.922878047,-1.663232489,-2.413024265,-2.364318675
908.4444444,-15.2034841,-1.676836343,-1.929915092,-1.899858658,-1.649314498,-2.391590693,-2.347351361
908.6666667,-15.25917033,-1.659239724,-1.907737299,-1.877380005,-1.633624188,-2.363476227,-2.322108554
908.8888889,-15.31287451,-1.642351005,-1.8859182,-1.855391684,-1.614445509,-2.33051616,-2.289494417
909.1111111,-15.36418336,-1.625946732,-1.864455911,-1.833858587,-1.593181081,-2.295229763,-2.25345938
909.3333333,-15.41300466,-1.609855225,-1.84334979,-1.812755589,-1.572245587,-2.259699653,-2.217806355
909.5555556,-15.45951298,-1.593959008,-1.822598919,-1.792063997,-1.552680064,-2.225193999,-2.184475204
909.7777778,-15.50407397,-1.578186073,-1.802201677,-1.771769263,-1.534507002,-2.192293693,-2.15388356
910,-15.54705619,-1.562204517,-1.783383646,-1.75326009,-1.518674872,-2.16552844,-2.12864049
910.2222222,-15.59133681,-1.546224609,-1.765348439,-1.735540777,-1.504061753,-2.141269827,-2.105349589
910.4444444,-15.63761811,-1.530435676,-1.747571625,-1.718019907,-1.490066161,-2.117496877,-2.082541152
910.6666667,-15.68597195,-1.514911211,-1.730057415,-1.700716136,-1.476637957,-2.094239778,-2.060243849
910.8888889,-15.73620265,-1.499725448,-1.712806057,-1.683638371,-1.463722391,-2.071545358,-2.038500945
911.1111111,-15.78776542,-1.484940144,-1.695815373,-1.666790244,-1.451261276,-2.049488179,-2.017379296
911.3333333,-15.8397768,-1.470593865,-1.679081739,-1.650172462,-1.439194674,-2.028191373,-1.996985895
911.5555556,-15.8911736,-1.456697332,-1.662600708,-1.633784087,-1.42746305,-2.007867507,-1.977500473
911.7777778,-15.94099833,-1.44323558,-1.646367407,-1.617623251,-1.416009748,-1.988898855,-1.959245251
912,-15.98868584,-1.430174972,-1.630376785,-1.601687567,-1.404783589,-1.971954983,-1.942849919
912.2222222,-16.03420085,-1.417471848,-1.614623776,-1.585974364,-1.393741335,-1.957516206,-1.92968747
912.4444444,-16.07797243,-1.405080151,-1.599103387,-1.570480831,-1.382849776,-1.935263534,-1.923043356
912.6666667,-16.12069903,-1.392956688,-1.583810755,-1.555204092,-1.372087193,-1.87008267,-1.924835169
912.8888889,-16.16314287,-1.38106394,-1.568741172,-1.540141251,-1.361444088,-1.840425291,-1.800587858
913.1111111,-16.20598977,-1.369370946,-1.553890094,-1.525289415,-1.350923108,-1.826506966,-1.766420561
913.3333333,-16.24978724,-1.357852996,-1.53925313,-1.510645697,-1.340538262,-1.811692089,-1.765981991
913.5555556,-16.29493819,-1.34649072,-1.52482603,-1.496207215,-1.33031355,-1.795669455,-1.757369009
913.7777778,-16.34172224,-1.335268975,-1.510604655,-1.481971072,-1.320281247,-1.779030346,-1.744969629
914,-16.390325,-1.324175768,-1.496584944,-1.467934333,-1.31048004,-1.762156753,-1.730881413
914.2222222,-16.4408652,-1.313201302,-1.482762867,-1.454093994,-1.300953238,-1.745271877,-1.716024041
