"Freq [MHz]","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
937.111111111111,-0.659937648161629,-0.648274985868874,-0.724605259867621,-0.902010786466994,-0.729040176277796,-0.753033257913414,-2.74826332657806,-3.14757710429933,-2.85377424814599,-3.33361447682695,-3.73330531928544,-3.76286762208585
937.333333333333,-0.655580040545174,-0.643495344597968,-0.71971888940694,-0.899760156252878,-0.725772827777094,-0.749298115157373,-2.80785305895013,-3.22297460344783,-2.92298133315187,-3.44216437181343,-3.8283659738958,-3.84508261002815
937.555555555556,-0.651247358730223,-0.638725253250919,-0.714830921109307,-0.897037083507623,-0.722685779647713,-0.745764211411221,-2.89336586163433,-3.32938619985459,-3.02060907446314,-3.58920034117887,-3.96133897596668,-3.9614893480241
937.777777777778,-0.646952644441872,-0.633966513684201,-0.709944175171321,-0.893765664652498,-0.719803776365722,-0.742453807526816,-3.01066055984054,-3.47425891345565,-3.153392103797,-3.78458033297354,-4.14164542141218,-4.12058114658862
938,-0.642699457798228,-0.629225970610117,-0.705067418161536,-0.889668521511892,-0.717132453899954,-0.739366408731738,-3.16751391534504,-3.66738526042346,-3.33028854969722,-4.04108885759992,-4.38149053536182,-4.33343006536936
938.222222222222,-0.638476182020155,-0.624519753587178,-0.700220381204459,-0.884126100157217,-0.714626220681572,-0.736444734321928,-3.37422975533105,-3.92164625118294,-3.56316133961741,-4.37509474036542,-4.69664997351483,-4.61450853453858
938.444444444444,-0.63428986291355,-0.619878856729635,-0.695440460913164,-0.88009452525094,-0.712133950159186,-0.733519226292575,-3.64437945581024,-4.25389298958367,-3.86754846605884,-4.80690536973805,-5.10723859842941,-4.98263931988533
938.666666666667,-0.630222455774914,-0.615354060293255,-0.69078770525099,-0.875294122509522,-0.709340843697439,-0.730252560340994,-3.9955590447269,-4.68579329553918,-4.26328635478269,-5.35995672471661,-5.63802300864537,-5.46185934233316
938.888888888889,-0.626370294191581,-0.611014047392915,-0.686338202306994,-0.869413334177921,-0.70579068322067,-0.726172398730797,-4.44976331713507,-5.24406594509451,-4.77427066200684,-6.0566870412589,-6.31706258410123,-6.08151668213722
939.111111111111,-0.622749288156925,-0.606926396381486,-0.682152575696748,-0.862694359889881,-0.701114098005054,-0.720916643624529,-5.0322439852503,-5.95845743241551,-5.42544643181612,-6.90614318839196,-7.16952430087063,-6.87369293609652
939.333333333333,-0.619309718182724,-0.603117330918869,-0.678225060265765,-0.855173547280541,-0.695382959412995,-0.714598292476621,-5.7659400007554,-6.85309334220773,-6.23238324670148,-7.87381372619416,-8.19899357699975,-7.86287627319821
939.555555555556,-0.615978603142173,-0.599532737416323,-0.674458818723691,-0.846852460639028,-0.68917013633629,-0.707853799860397,-6.65471004574869,-7.92056885764012,-7.17373532900481,-8.82552273456778,-9.34088342364191,-9.0353767133199
939.777777777778,-0.612682572489382,-0.596043892289608,-0.670707584119255,-0.837750280271612,-0.683166753820002,-0.701431490053421,-7.64301111356159,-9.05935582355425,-8.13482973041986,-9.48378029783583,-10.3785458553695,-10.2658344678231
940,-0.609360188095548,-0.592505316529169,-0.666846071394556,-0.827933662749369,-0.677820390759234,-0.695809601288523,-8.54752015500239,-9.97861325599401,-8.84821885482942,-9.55047834958499,-10.9158929512483,-11.2123168692752
940.222222222222,-0.60596791117418,-0.588812466191907,-0.662801860026397,-0.817543303430158,-0.673297115746277,-0.691160956781571,-9.0376214210645,-10.2436077869494,-8.9848817871257,-9.00868163443833,-10.66359816792,-11.4062749867775
